id,gender,race,age,path
1,female,Asian,45,000001_female_Asian_45
2,female,Asian,52,000002_female_Asian_52
4,male,Asian,54,000004_male_Asian_54
5,female,Asian,58,000005_female_Asian_58
6,female,Asian,59,000006_female_Asian_59
7,female,Asian,58,000007_female_Asian_58
8,female,Asian,58,000008_female_Asian_58
9,female,Asian,56,000009_female_Asian_56
10,female,Asian,58,000010_female_Asian_58
12,male,Asian,57,000012_male_Asian_57
14,female,Asian,58,000014_female_Asian_58
15,male,Asian,55,000015_male_Asian_55
16,female,Asian,58,000016_female_Asian_58
18,female,Asian,59,000018_female_Asian_59
19,female,Asian,57,000019_female_Asian_57
20,female,Asian,50,000020_female_Asian_50
21,female,Asian,54,000021_female_Asian_54
22,female,Asian,58,000022_female_Asian_58
23,female,Asian,55,000023_female_Asian_55
24,female,Asian,58,000024_female_Asian_58
25,female,Asian,49,000025_female_Asian_49
26,female,Asian,56,000026_female_Asian_56
28,female,Asian,58,000028_female_Asian_58
29,female,Asian,58,000029_female_Asian_58
30,female,Asian,55,000030_female_Asian_55
31,female,Asian,54,000031_female_Asian_54
33,male,Asian,57,000033_male_Asian_57
34,female,Asian,55,000034_female_Asian_55
36,female,Asian,58,000036_female_Asian_58
37,female,Asian,58,000037_female_Asian_58
38,female,Asian,58,000038_female_Asian_58
39,female,Asian,57,000039_female_Asian_57
40,female,Asian,57,000040_female_Asian_57
41,female,Asian,58,000041_female_Asian_58
43,male,Asian,56,000043_male_Asian_56
44,female,Asian,58,000044_female_Asian_58
45,female,Asian,56,000045_female_Asian_56
46,male,Asian,55,000046_male_Asian_55
47,male,Asian,58,000047_male_Asian_58
48,female,Asian,57,000048_female_Asian_57
62,female,Asian,55,000062_female_Asian_55
64,male,Asian,59,000064_male_Asian_59
66,female,Asian,53,000066_female_Asian_53
67,female,Asian,54,000067_female_Asian_54
69,female,Asian,54,000069_female_Asian_54
70,female,Asian,58,000070_female_Asian_58
71,female,Asian,56,000071_female_Asian_56
73,female,Asian,52,000073_female_Asian_52
75,female,Asian,56,000075_female_Asian_56
77,male,Asian,59,000077_male_Asian_59
78,female,Asian,55,000078_female_Asian_55
79,female,Asian,57,000079_female_Asian_57
80,female,Asian,57,000080_female_Asian_57
206,female,Asian,57,000206_female_Asian_57
207,female,Asian,56,000207_female_Asian_56
209,female,Asian,56,000209_female_Asian_56
210,female,Asian,54,000210_female_Asian_54
212,female,Asian,51,000212_female_Asian_51
214,female,Asian,51,000214_female_Asian_51
215,female,Asian,59,000215_female_Asian_59
216,female,Asian,56,000216_female_Asian_56
217,female,Asian,54,000217_female_Asian_54
218,female,Asian,59,000218_female_Asian_59
219,female,Asian,53,000219_female_Asian_53
221,female,Asian,40,000221_female_Asian_40
224,female,Asian,56,000224_female_Asian_56
225,female,Asian,25,000225_female_Asian_25
226,female,Asian,58,000226_female_Asian_58
227,female,Asian,59,000227_female_Asian_59
228,female,Asian,56,000228_female_Asian_56
229,male,Asian,56,000229_male_Asian_56
231,male,Asian,56,000231_male_Asian_56
232,male,Asian,53,000232_male_Asian_53
235,male,Asian,57,000235_male_Asian_57
236,male,Asian,51,000236_male_Asian_51
237,male,Asian,56,000237_male_Asian_56
238,male,Asian,57,000238_male_Asian_57
240,male,Asian,57,000240_male_Asian_57
241,male,Asian,56,000241_male_Asian_56
242,male,Asian,56,000242_male_Asian_56
243,female,Asian,58,000243_female_Asian_58
244,female,Asian,56,000244_female_Asian_56
245,male,Asian,58,000245_male_Asian_58
248,female,Asian,54,000248_female_Asian_54
249,male,Asian,53,000249_male_Asian_53
255,female,Asian,59,000255_female_Asian_59
256,female,Asian,58,000256_female_Asian_58
260,female,Asian,58,000260_female_Asian_58
261,female,Asian,58,000261_female_Asian_58
262,male,Asian,56,000262_male_Asian_56
263,female,Asian,48,000263_female_Asian_48
264,female,Asian,51,000264_female_Asian_51
265,female,Asian,58,000265_female_Asian_58
266,female,Asian,58,000266_female_Asian_58
267,male,Asian,58,000267_male_Asian_58
268,male,Asian,59,000268_male_Asian_59
269,male,Asian,56,000269_male_Asian_56
270,female,Asian,49,000270_female_Asian_49
272,female,Asian,52,000272_female_Asian_52
273,female,Asian,56,000273_female_Asian_56
274,female,Asian,54,000274_female_Asian_54
275,female,Asian,54,000275_female_Asian_54
276,female,Asian,58,000276_female_Asian_58
277,female,Asian,54,000277_female_Asian_54
278,female,Asian,54,000278_female_Asian_54
279,female,Asian,54,000279_female_Asian_54
280,female,Asian,54,000280_female_Asian_54
282,female,Asian,59,000282_female_Asian_59
283,female,Asian,57,000283_female_Asian_57
285,female,Asian,54,000285_female_Asian_54
286,female,Asian,51,000286_female_Asian_51
288,female,Asian,51,000288_female_Asian_51
292,female,Asian,57,000292_female_Asian_57
293,female,Asian,57,000293_female_Asian_57
